Date,FOODS,ENERGY_RESOURCES,CONSTRUCTION_MATERIALS,RAW_MAT_CHEM,PHARMACEUTICAL,AUTOMOBILES_TRANSP_EQUIP,STEEL_NONFERROUS,MACHINERY,ELEC_APPLIANCES_PRECISION,IT_SERV_OTHERS,ELECTRIC_POWER_GAS,TRANSPORT_LOGISTICS,COMMERCIAL_WHOLESALE,RETAIL_TRADE,BANKS,FIN_EX_BANKS,REAL_ESTATE
2014-03-31,,,,,,,,,,,,,,,,,
2014-06-30,0.07836430395190952,0.12035544138590382,0.08384797247787468,0.05166141513531208,0.03672543872905898,0.02706932196821832,0.11661276050819325,0.06550302022929344,0.04327598348182171,0.03043713218586319,0.03472046870373724,0.0634888097117976,0.06082400373315622,0.07021671205091629,0.04116577496253271,0.0653476294288371,0.04985456022521895
2014-09-30,-0.009687438155689065,-0.04419408042033979,0.058319491092701625,0.07085593676734447,0.025430486761361948,0.06555803093439039,-0.0037541104624878585,0.08490806659467687,0.07696104113612812,0.031614856381702694,0.027799888277597162,0.036823011486049495,0.029465891343027906,0.020339684237121958,-0.010133665714803897,-0.05705647184485585,-0.034006367985194075
2014-12-31,0.07622330594958804,-0.07456391653640715,0.02891527470607791,0.1137939097862013,0.03212135328942267,0.0966146467359188,0.07340250475233034,0.031514508769006966,0.07348530712737755,0.03733042891475158,0.09622803209455277,0.1255458692455953,-0.006213612224700071,0.07247672868879995,0.04967160979723673,0.0944758034522053,0.03096222560396633
2015-03-31,0.12653691852163895,-0.0015974444291568801,0.048907157442451776,0.11000089521432876,0.21961148503942773,0.08462557837006557,0.03181695723434075,0.04359043607486335,0.1098040697276037,0.12449669841084621,0.036039936483197366,0.09542612855510768,0.07610941831024398,0.16373541774024503,0.08524770810213411,0.10677854150331356,0.08191712246788718
2015-06-30,0.06130443149591258,0.08280590368423368,0.07654500285460664,0.025200613617297307,-0.005873732012092958,0.003086422203189443,0.04711615230245236,0.04781172733225603,0.028019716812226036,0.04710807798644723,0.11115909486998987,0.022356907101276136,0.07809691136816532,0.09159369025977071,0.13595563623602835,0.10528549408908994,-0.019858808649603432
2015-09-30,-0.09735099683917703,-0.2908757860127178,-0.178427976274822,-0.14278835584468474,-0.09521200102068228,-0.17970556699710727,-0.3462901579930229,-0.29817873725712296,-0.25207057198423044,-0.12094459377511413,-0.02985296314968089,-0.07349765782290696,-0.23110504318935554,-0.08683555281335309,-0.15226921172755326,-0.20457959317026742,-0.10567893629417391
2015-12-31,0.13796909697601656,0.09745533615071267,0.08203355045730554,0.13411704417859838,0.15661601235481193,0.1045302956018368,0.13338868837882778,0.1409611101554411,0.14350419143277016,0.10738506398948111,-0.02001243951501408,0.08812932009097096,0.08388631958233539,0.04939275532957588,0.017930390718429834,0.08721848064575077,-0.001593625835278445
2016-03-31,-0.019770001401003157,-0.185899378141837,-0.067119414411696,-0.12188981760903772,-0.07923509297720344,-0.2007629846966772,-0.1759483027976252,-0.09767462252710679,-0.15185972808070147,-0.04300488344285114,-0.11986605976918696,-0.06879337023940657,-0.05527147069541094,-0.07287302293841869,-0.31442309285236547,-0.1974698841040734,-0.08831714431335413
2016-06-30,-0.011715615172562366,-0.05299253014051075,-0.05670810537104387,-0.049832373747875636,0.0004996252914324373,-0.16102705990882527,-0.10278293913406955,-0.12309248089669467,-0.058101111371211545,-0.03689562728768081,-0.14547528340798976,-0.07839833926354878,-0.10055695360489203,-0.07977276570941783,-0.12346841462590241,-0.196670074647038,-0.1304500324010558
2016-09-30,-0.02834405213381075,0.027950394108344767,0.00215866246803742,0.06874953288008179,-0.0459968662638186,0.06966845320835624,0.10635012484299189,0.1369869537516788,0.09479560633760897,0.04340645229996021,0.013857034661427292,-0.03960913809504518,0.06561163411508097,0.0058309203107924645,0.08628103108622831,0.0985808286724481,-0.036794124173221476
2016-12-31,0.022942283428390553,0.22600604363539922,0.1457209481491084,0.1302608600256736,0.011957511852536129,0.18018728233279901,0.18380413675417806,0.13094084188337085,0.12429771667757805,0.056765022804190934,0.12489327383888771,0.11140283011378926,0.136332292856995,0.07556040523403595,0.2629822841755036,0.2513144282809048,0.17384254828684576
2017-03-31,0.02540243541208831,0.06552747786890833,0.007890502762416318,0.0669968628402362,0.006182399908317038,-0.03449432466899971,0.04395781343754912,0.06382373985122669,0.05064373281875412,0.04095576483682173,-0.031531056247862566,-0.025626783732151992,0.038765948060031974,-0.009750889826408482,-0.019608471388375293,0.007905179507114113,-0.09164780484383783
2017-06-30,0.07469714320711773,-0.07347453956144001,0.10896013189401721,0.06715746632719899,0.03779739420821748,-0.009661910911736626,0.04617625488898547,0.026460687771344027,0.08288765980576684,0.08164655725551029,0.06862140045742038,0.06750845755777135,0.03148213827035207,0.06481066700943572,0.0500323737485413,0.03557993243262558,0.09510323329925896
2017-09-30,-0.016988825586469858,0.09949226728939387,0.033832450338541875,0.04932972879538511,0.018618862203210185,0.0770509328167126,-0.0975690468140531,0.06684001812585016,0.038455560358668706,0.020981496684511214,-0.07141080254499954,0.002884340044086997,0.05558846463655698,-0.001020929134107007,-0.041071740316011685,-0.03322051332785669,-0.04299464161485744
2017-12-31,0.08506243854384898,0.23431685191233598,0.09439885193664033,0.11436549203544288,0.0648418731799385,0.07028043173849063,0.1150152508836566,0.1241484295234585,0.1032807163202083,0.04899708212719922,-0.011236073266925217,0.06684001812585016,0.13108540689626125,0.10142017844590434,0.08708571261501241,0.08143155485188558,0.06651711698047258
